ID,Q1,Q2,Q3,Q4
68,Rarely,Less,High prices,Fast-food
69,Never visited before,More,Poor service,Sit-down dining
70,Daily,Less,Quality of food,Fast-food
71,Rarely,Less,Lack of sit down dining elements,Sit-down dining
72,Rarely,Less,Lack of sit down dining elements,Fast-food
73,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
74,Monthly,Less,Quality of food,Sit-down dining
75,Daily,Less,High prices,Sit-down dining
76,Never visited before,Less,Quality of food,Fast-food
77,Rarely,Less,High prices,Fast-food
78,Rarely,Less,High prices,Fast-food
79,Never visited before,Less,Lack of sit down dining elements,Fast-food
80,Monthly,More,Poor service,Fast-food
81,Daily,Less,High prices,Sit-down dining
82,Rarely,Less,Lack of sit down dining elements,Sit-down dining
83,Monthly,Less,High prices,Fast-food
84,Daily,More,Quality of food,Sit-down dining
85,Never visited before,Less,High prices,Fast-food
86,Monthly,Less,Poor service,Sit-down dining
87,Daily,Less,Lack of sit down dining elements,Sit-down dining
88,Rarely,More,Lack of sit down dining elements,Fast-food
89,Rarely,More,High prices,Fast-food
90,Weekly,Less,High prices,Fast-food
91,Never visited before,Less,Poor service,Fast-food
92,Monthly,More,Quality of food,Sit-down dining
93,Weekly,Less,Quality of food,Fast-food
94,Daily,Less,Poor service,Sit-down dining
95,Daily,Less,High prices,Sit-down dining
96,Weekly,Less,Lack of sit down dining elements,Sit-down dining
97,Rarely,Less,Poor service,Sit-down dining
98,Rarely,Less,High prices,Sit-down dining
99,Monthly,More,High prices,Sit-down dining
100,Weekly,Less,Quality of food,Sit-down dining
101,Monthly,Less,Quality of food,Sit-down dining
102,Weekly,Less,Lack of sit down dining elements,Fast-food
103,Weekly,Less,Poor service,Sit-down dining
104,Never visited before,Less,High prices,Sit-down dining
105,Rarely,Less,Poor service,Sit-down dining
106,Rarely,Less,Lack of sit down dining elements,Sit-down dining
107,Monthly,Less,High prices,Sit-down dining
108,Monthly,Less,High prices,Sit-down dining
109,Monthly,More,Lack of sit down dining elements,Sit-down dining
110,Monthly,Less,Poor service,Fast-food
111,Rarely,Less,Poor service,Sit-down dining
112,Monthly,Less,High prices,Fast-food
113,Never visited before,Less,Quality of food,Sit-down dining
114,Monthly,Less,High prices,Sit-down dining
115,Rarely,Less,Poor service,Sit-down dining
116,Weekly,More,Lack of sit down dining elements,Sit-down dining
117,Rarely,Less,Quality of food,Fast-food
118,Daily,Less,Poor service,Fast-food
119,Monthly,Less,Lack of sit down dining elements,Sit-down dining
120,Daily,Less,High prices,Sit-down dining
121,Monthly,More,Poor service,Fast-food
122,Weekly,Less,Lack of sit down dining elements,Sit-down dining
123,Never visited before,More,Lack of sit down dining elements,Sit-down dining
124,Monthly,Less,Lack of sit down dining elements,Sit-down dining
125,Never visited before,Less,High prices,Fast-food
126,Daily,More,High prices,Fast-food
127,Daily,Less,High prices,Sit-down dining
128,Rarely,Less,High prices,Sit-down dining
129,Monthly,Less,High prices,Fast-food
130,Never visited before,Less,Poor service,Sit-down dining
131,Daily,Less,Lack of sit down dining elements,Fast-food
132,Rarely,Less,High prices,Sit-down dining
133,Never visited before,Less,Poor service,Sit-down dining
134,Daily,More,Lack of sit down dining elements,Sit-down dining
135,Never visited before,Less,Quality of food,Sit-down dining
136,Weekly,Less,High prices,Sit-down dining
137,Never visited before,Less,Lack of sit down dining elements,Fast-food
138,Monthly,Less,Poor service,Sit-down dining
139,Monthly,Less,Lack of sit down dining elements,Sit-down dining
140,Monthly,Less,Lack of sit down dining elements,Sit-down dining
141,Daily,Less,Lack of sit down dining elements,Sit-down dining
142,Daily,Less,Lack of sit down dining elements,Sit-down dining
143,Rarely,Less,Lack of sit down dining elements,Fast-food
144,Weekly,More,Poor service,Fast-food
145,Rarely,Less,Poor service,Fast-food
146,Rarely,More,High prices,Sit-down dining
147,Daily,Less,High prices,Fast-food
148,Daily,Less,Lack of sit down dining elements,Fast-food
149,Rarely,Less,Poor service,Sit-down dining
150,Weekly,More,High prices,Sit-down dining
151,Never visited before,Less,Quality of food,Fast-food
152,Monthly,Less,Lack of sit down dining elements,Sit-down dining
153,Never visited before,Less,High prices,Sit-down dining
154,Rarely,Less,Lack of sit down dining elements,Sit-down dining
155,Never visited before,Less,Quality of food,Sit-down dining
156,Never visited before,Less,High prices,Fast-food
157,Daily,More,High prices,Sit-down dining
158,Rarely,Less,Poor service,Fast-food
159,Monthly,More,Lack of sit down dining elements,Fast-food
160,Rarely,Less,Quality of food,Sit-down dining
161,Rarely,More,High prices,Sit-down dining
162,Monthly,Less,Poor service,Fast-food
163,Never visited before,Less,Poor service,Fast-food
164,Never visited before,More,Lack of sit down dining elements,Sit-down dining
165,Rarely,Less,Lack of sit down dining elements,Sit-down dining
166,Never visited before,Less,High prices,Sit-down dining
167,Never visited before,Less,Lack of sit down dining elements,Fast-food
168,Monthly,Less,Poor service,Fast-food
169,Never visited before,Less,High prices,Sit-down dining
170,Daily,Less,High prices,Fast-food
171,Rarely,Less,Lack of sit down dining elements,Fast-food
172,Monthly,More,Quality of food,Sit-down dining
173,Weekly,Less,Poor service,Sit-down dining
174,Never visited before,Less,High prices,Sit-down dining
175,Rarely,More,High prices,Sit-down dining
176,Daily,Less,High prices,Sit-down dining
177,Never visited before,Less,Quality of food,Fast-food
178,Never visited before,Less,Quality of food,Sit-down dining
179,Daily,Less,High prices,Fast-food
180,Never visited before,More,Lack of sit down dining elements,Fast-food
181,Daily,Less,Quality of food,Sit-down dining
182,Rarely,More,Lack of sit down dining elements,Sit-down dining
183,Monthly,Less,Lack of sit down dining elements,Fast-food
184,Daily,Less,Lack of sit down dining elements,Sit-down dining
185,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
186,Monthly,Less,Lack of sit down dining elements,Fast-food
187,Monthly,More,Lack of sit down dining elements,Fast-food
188,Daily,Less,Lack of sit down dining elements,Sit-down dining
189,Monthly,Less,High prices,Sit-down dining
190,Weekly,Less,Quality of food,Fast-food
191,Monthly,Less,Quality of food,Sit-down dining
192,Monthly,Less,Lack of sit down dining elements,Fast-food
193,Monthly,More,Quality of food,Fast-food
194,Never visited before,Less,High prices,Sit-down dining
195,Monthly,Less,Lack of sit down dining elements,Sit-down dining
196,Monthly,More,Lack of sit down dining elements,Fast-food
197,Weekly,Less,Quality of food,Sit-down dining
198,Weekly,Less,High prices,Fast-food
199,Never visited before,Less,Lack of sit down dining elements,Fast-food
200,Weekly,Less,Quality of food,Fast-food
201,Daily,Less,Lack of sit down dining elements,Fast-food
202,Rarely,More,Lack of sit down dining elements,Sit-down dining
203,Never visited before,Less,High prices,Sit-down dining
204,Monthly,Less,Quality of food,Sit-down dining
205,Weekly,Less,Quality of food,Fast-food
206,Monthly,Less,Quality of food,Fast-food
207,Monthly,Less,High prices,Fast-food
208,Rarely,Less,Poor service,Fast-food
209,Never visited before,Less,Quality of food,Fast-food
210,Monthly,Less,Poor service,Fast-food
211,Monthly,Less,Lack of sit down dining elements,Fast-food
212,Rarely,Less,High prices,Sit-down dining
213,Daily,Less,High prices,Sit-down dining
214,Daily,Less,High prices,Sit-down dining
215,Monthly,More,Lack of sit down dining elements,Fast-food
216,Weekly,Less,Lack of sit down dining elements,Sit-down dining
217,Monthly,More,High prices,Fast-food
218,Weekly,Less,High prices,Sit-down dining
219,Daily,Less,High prices,Fast-food
220,Monthly,Less,Poor service,Fast-food
221,Daily,Less,High prices,Sit-down dining
222,Never visited before,Less,Lack of sit down dining elements,Fast-food
223,Monthly,More,Lack of sit down dining elements,Fast-food
224,Weekly,Less,Lack of sit down dining elements,Fast-food
225,Rarely,Less,High prices,Sit-down dining
226,Weekly,Less,Lack of sit down dining elements,Fast-food
227,Monthly,Less,Poor service,Fast-food
228,Rarely,More,High prices,Fast-food
229,Never visited before,Less,Quality of food,Fast-food
230,Monthly,More,Lack of sit down dining elements,Fast-food
231,Never visited before,Less,Lack of sit down dining elements,Fast-food
232,Monthly,More,Quality of food,Fast-food
233,Daily,Less,High prices,Fast-food
234,Rarely,More,Poor service,Sit-down dining
235,Monthly,More,High prices,Sit-down dining
236,Never visited before,Less,Poor service,Fast-food
237,Monthly,Less,Lack of sit down dining elements,Sit-down dining
238,Weekly,More,Quality of food,Fast-food
239,Monthly,Less,Lack of sit down dining elements,Sit-down dining
240,Monthly,More,Lack of sit down dining elements,Fast-food
241,Weekly,More,Quality of food,Sit-down dining
242,Monthly,More,Lack of sit down dining elements,Sit-down dining
243,Rarely,Less,Lack of sit down dining elements,Fast-food
244,Monthly,Less,Lack of sit down dining elements,Fast-food
245,Never visited before,More,Poor service,Sit-down dining
246,Rarely,Less,Lack of sit down dining elements,Sit-down dining
247,Daily,Less,Poor service,Sit-down dining
248,Rarely,Less,Lack of sit down dining elements,Sit-down dining
249,Daily,Less,Quality of food,Sit-down dining
250,Rarely,Less,Lack of sit down dining elements,Sit-down dining
251,Never visited before,More,Quality of food,Fast-food
252,Monthly,More,Quality of food,Sit-down dining
253,Rarely,More,Poor service,Sit-down dining
254,Rarely,Less,Poor service,Fast-food
255,Never visited before,Less,Poor service,Fast-food
256,Monthly,More,Lack of sit down dining elements,Fast-food
257,Rarely,Less,Poor service,Sit-down dining
258,Never visited before,Less,High prices,Sit-down dining
259,Daily,Less,High prices,Fast-food
260,Weekly,Less,Quality of food,Sit-down dining
261,Rarely,Less,High prices,Sit-down dining
262,Daily,More,Lack of sit down dining elements,Sit-down dining
263,Monthly,Less,High prices,Sit-down dining
264,Rarely,Less,Lack of sit down dining elements,Sit-down dining
265,Daily,Less,High prices,Fast-food
266,Monthly,Less,High prices,Fast-food
267,Weekly,Less,Quality of food,Sit-down dining
268,Monthly,Less,High prices,Fast-food
269,Monthly,Less,Lack of sit down dining elements,Sit-down dining
270,Rarely,Less,Poor service,Sit-down dining
271,Weekly,Less,High prices,Sit-down dining
272,Weekly,Less,Lack of sit down dining elements,Sit-down dining
273,Monthly,More,Poor service,Sit-down dining
274,Monthly,Less,Lack of sit down dining elements,Sit-down dining
275,Weekly,Less,Lack of sit down dining elements,Fast-food
276,Rarely,Less,High prices,Sit-down dining
277,Monthly,Less,Lack of sit down dining elements,Fast-food
278,Monthly,More,Lack of sit down dining elements,Fast-food
279,Monthly,Less,Quality of food,Sit-down dining
280,Rarely,Less,Lack of sit down dining elements,Sit-down dining
281,Never visited before,Less,Poor service,Fast-food
282,Rarely,More,Lack of sit down dining elements,Fast-food
283,Daily,Less,Quality of food,Fast-food
284,Never visited before,Less,Lack of sit down dining elements,Fast-food
285,Rarely,Less,Poor service,Sit-down dining
286,Monthly,Less,Lack of sit down dining elements,Fast-food
287,Never visited before,Less,High prices,Sit-down dining
288,Rarely,Less,Quality of food,Sit-down dining
289,Rarely,Less,Quality of food,Fast-food
290,Rarely,Less,Poor service,Sit-down dining
291,Daily,More,Lack of sit down dining elements,Fast-food
292,Monthly,Less,Lack of sit down dining elements,Fast-food
293,Weekly,Less,High prices,Fast-food
294,Monthly,More,Quality of food,Sit-down dining
295,Monthly,Less,Lack of sit down dining elements,Fast-food
296,Monthly,Less,Poor service,Sit-down dining
297,Rarely,More,High prices,Fast-food
298,Rarely,Less,Quality of food,Fast-food
299,Daily,Less,Poor service,Sit-down dining
300,Monthly,Less,Poor service,Fast-food
301,Daily,Less,Poor service,Sit-down dining
302,Monthly,More,High prices,Fast-food
303,Weekly,Less,Poor service,Sit-down dining
304,Rarely,Less,Lack of sit down dining elements,Fast-food
305,Rarely,Less,Quality of food,Sit-down dining
306,Never visited before,Less,Quality of food,Fast-food
307,Rarely,Less,Lack of sit down dining elements,Sit-down dining
308,Rarely,Less,Poor service,Sit-down dining
309,Daily,Less,Poor service,Fast-food
310,Daily,Less,Poor service,Fast-food
311,Never visited before,Less,High prices,Fast-food
312,Never visited before,Less,Quality of food,Fast-food
313,Monthly,Less,Lack of sit down dining elements,Fast-food
314,Rarely,Less,High prices,Fast-food
315,Weekly,Less,Lack of sit down dining elements,Fast-food
316,Weekly,Less,High prices,Sit-down dining
317,Rarely,Less,Lack of sit down dining elements,Sit-down dining
318,Rarely,Less,Quality of food,Fast-food
319,Weekly,Less,Quality of food,Sit-down dining
320,Monthly,Less,High prices,Fast-food
321,Rarely,Less,Lack of sit down dining elements,Fast-food
322,Rarely,Less,Poor service,Fast-food
323,Rarely,More,High prices,Fast-food
324,Rarely,Less,High prices,Sit-down dining
325,Rarely,Less,High prices,Fast-food
326,Rarely,Less,Lack of sit down dining elements,Fast-food
327,Never visited before,More,Quality of food,Sit-down dining
328,Monthly,Less,Lack of sit down dining elements,Sit-down dining
329,Rarely,Less,High prices,Fast-food
330,Monthly,Less,Lack of sit down dining elements,Sit-down dining
331,Rarely,Less,Lack of sit down dining elements,Sit-down dining
332,Monthly,Less,Lack of sit down dining elements,Sit-down dining
333,Monthly,Less,Lack of sit down dining elements,Fast-food
334,Never visited before,Less,High prices,Sit-down dining
335,Monthly,More,Poor service,Sit-down dining
336,Rarely,Less,Poor service,Fast-food
337,Rarely,Less,Lack of sit down dining elements,Fast-food
338,Weekly,Less,High prices,Sit-down dining
339,Rarely,Less,High prices,Fast-food
340,Never visited before,Less,Quality of food,Sit-down dining
341,Daily,Less,Lack of sit down dining elements,Sit-down dining
342,Rarely,Less,Quality of food,Fast-food
343,Weekly,More,Lack of sit down dining elements,Fast-food
344,Weekly,Less,Poor service,Fast-food
345,Never visited before,Less,High prices,Sit-down dining
346,Rarely,More,Lack of sit down dining elements,Sit-down dining
347,Rarely,Less,Lack of sit down dining elements,Sit-down dining
348,Daily,More,Quality of food,Sit-down dining
349,Daily,Less,High prices,Fast-food
350,Never visited before,More,Lack of sit down dining elements,Sit-down dining
351,Daily,Less,Quality of food,Sit-down dining
352,Never visited before,Less,Lack of sit down dining elements,Fast-food
353,Never visited before,More,Quality of food,Sit-down dining
354,Rarely,Less,Poor service,Sit-down dining
355,Weekly,Less,Quality of food,Sit-down dining
356,Monthly,Less,Lack of sit down dining elements,Fast-food
357,Never visited before,Less,High prices,Sit-down dining
358,Rarely,Less,High prices,Fast-food
359,Monthly,Less,Lack of sit down dining elements,Fast-food
360,Monthly,Less,Lack of sit down dining elements,Fast-food
361,Rarely,Less,High prices,Fast-food
362,Never visited before,Less,High prices,Fast-food
363,Weekly,Less,High prices,Sit-down dining
364,Monthly,Less,Lack of sit down dining elements,Sit-down dining
365,Monthly,Less,High prices,Fast-food
366,Rarely,Less,High prices,Fast-food
367,Daily,Less,High prices,Fast-food
368,Rarely,Less,Lack of sit down dining elements,Sit-down dining
369,Weekly,Less,Poor service,Sit-down dining
370,Monthly,Less,High prices,Sit-down dining
371,Monthly,Less,High prices,Fast-food
372,Weekly,Less,Quality of food,Fast-food
373,Daily,Less,Poor service,Sit-down dining
374,Monthly,Less,High prices,Fast-food
375,Rarely,Less,High prices,Fast-food
376,Weekly,Less,Lack of sit down dining elements,Sit-down dining
377,Weekly,Less,High prices,Fast-food
378,Daily,Less,Lack of sit down dining elements,Sit-down dining
379,Monthly,More,Quality of food,Sit-down dining
380,Never visited before,Less,High prices,Fast-food
381,Monthly,More,Quality of food,Sit-down dining
382,Rarely,More,High prices,Sit-down dining
383,Never visited before,More,Lack of sit down dining elements,Fast-food
384,Rarely,Less,Lack of sit down dining elements,Fast-food
385,Monthly,Less,Lack of sit down dining elements,Fast-food
386,Rarely,Less,Poor service,Fast-food
387,Monthly,More,Poor service,Sit-down dining
388,Monthly,More,Lack of sit down dining elements,Fast-food
389,Rarely,Less,Lack of sit down dining elements,Fast-food
390,Rarely,Less,Lack of sit down dining elements,Fast-food
391,Weekly,Less,Lack of sit down dining elements,Fast-food
392,Monthly,More,Poor service,Sit-down dining
393,Rarely,Less,High prices,Sit-down dining
394,Rarely,More,Quality of food,Sit-down dining
395,Daily,More,High prices,Fast-food
396,Rarely,Less,High prices,Fast-food
397,Never visited before,Less,High prices,Sit-down dining
398,Daily,Less,Poor service,Fast-food
399,Rarely,Less,Poor service,Fast-food
400,Monthly,More,Lack of sit down dining elements,Sit-down dining
401,Rarely,More,High prices,Sit-down dining
402,Weekly,Less,High prices,Sit-down dining
403,Daily,More,Poor service,Sit-down dining
404,Never visited before,Less,High prices,Sit-down dining
405,Monthly,Less,Lack of sit down dining elements,Sit-down dining
406,Rarely,Less,High prices,Sit-down dining
407,Rarely,More,Lack of sit down dining elements,Fast-food
408,Monthly,Less,High prices,Fast-food
409,Monthly,Less,Poor service,Fast-food
410,Monthly,Less,Quality of food,Fast-food
411,Never visited before,Less,Poor service,Fast-food
412,Never visited before,More,Lack of sit down dining elements,Fast-food
413,Rarely,More,High prices,Fast-food
414,Rarely,Less,High prices,Fast-food
415,Weekly,Less,Lack of sit down dining elements,Sit-down dining
416,Never visited before,Less,Quality of food,Sit-down dining
417,Daily,More,Lack of sit down dining elements,Sit-down dining
418,Daily,More,Quality of food,Sit-down dining
419,Monthly,More,High prices,Sit-down dining
420,Never visited before,Less,High prices,Fast-food
421,Never visited before,Less,Lack of sit down dining elements,Fast-food
422,Never visited before,More,High prices,Sit-down dining
423,Never visited before,Less,Quality of food,Fast-food
424,Weekly,Less,High prices,Sit-down dining
425,Monthly,Less,Poor service,Sit-down dining
426,Daily,More,High prices,Sit-down dining
427,Monthly,Less,Quality of food,Sit-down dining
428,Rarely,Less,Lack of sit down dining elements,Fast-food
429,Never visited before,More,Lack of sit down dining elements,Fast-food
430,Rarely,Less,Poor service,Fast-food
431,Daily,More,Quality of food,Fast-food
432,Monthly,More,High prices,Sit-down dining
433,Monthly,Less,Quality of food,Fast-food
434,Weekly,Less,High prices,Sit-down dining
435,Weekly,Less,Lack of sit down dining elements,Fast-food
436,Daily,Less,Poor service,Fast-food
437,Daily,Less,High prices,Fast-food
438,Never visited before,More,Quality of food,Fast-food
439,Daily,More,Lack of sit down dining elements,Fast-food
440,Monthly,More,Lack of sit down dining elements,Sit-down dining
441,Rarely,Less,High prices,Sit-down dining
442,Rarely,Less,Poor service,Fast-food
443,Rarely,More,Lack of sit down dining elements,Fast-food
444,Weekly,Less,High prices,Fast-food
445,Never visited before,More,High prices,Sit-down dining
446,Monthly,More,Poor service,Fast-food
447,Monthly,Less,Lack of sit down dining elements,Sit-down dining
448,Daily,Less,High prices,Fast-food
449,Weekly,Less,Lack of sit down dining elements,Fast-food
450,Monthly,More,High prices,Sit-down dining
451,Never visited before,Less,Poor service,Fast-food
452,Monthly,Less,High prices,Sit-down dining
453,Daily,Less,Lack of sit down dining elements,Fast-food
454,Never visited before,Less,Quality of food,Fast-food
455,Weekly,Less,High prices,Sit-down dining
456,Rarely,More,High prices,Sit-down dining
457,Monthly,Less,High prices,Fast-food
458,Monthly,Less,Poor service,Fast-food
459,Rarely,Less,Lack of sit down dining elements,Sit-down dining
460,Weekly,Less,Lack of sit down dining elements,Fast-food
461,Rarely,Less,High prices,Fast-food
462,Rarely,Less,Lack of sit down dining elements,Sit-down dining
463,Monthly,Less,Lack of sit down dining elements,Fast-food
464,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
465,Daily,Less,Quality of food,Fast-food
466,Daily,Less,Poor service,Sit-down dining
467,Monthly,Less,Poor service,Sit-down dining
468,Rarely,Less,High prices,Fast-food
469,Never visited before,Less,Lack of sit down dining elements,Fast-food
470,Rarely,Less,Poor service,Sit-down dining
471,Monthly,More,Lack of sit down dining elements,Sit-down dining
472,Weekly,Less,Lack of sit down dining elements,Sit-down dining
473,Monthly,More,High prices,Sit-down dining
474,Weekly,Less,Lack of sit down dining elements,Sit-down dining
475,Rarely,Less,Quality of food,Sit-down dining
476,Weekly,Less,High prices,Fast-food
477,Never visited before,Less,Poor service,Fast-food
478,Rarely,Less,High prices,Fast-food
479,Monthly,Less,Lack of sit down dining elements,Fast-food
480,Weekly,More,Quality of food,Fast-food
481,Daily,Less,Lack of sit down dining elements,Fast-food
482,Never visited before,More,High prices,Fast-food
483,Weekly,Less,Poor service,Sit-down dining
484,Never visited before,More,Lack of sit down dining elements,Sit-down dining
485,Weekly,Less,High prices,Sit-down dining
486,Monthly,Less,High prices,Sit-down dining
487,Daily,More,Quality of food,Fast-food
488,Monthly,Less,High prices,Fast-food
489,Monthly,Less,High prices,Sit-down dining
490,Monthly,Less,Poor service,Fast-food
491,Monthly,More,High prices,Sit-down dining
492,Monthly,Less,Poor service,Sit-down dining
493,Daily,Less,Lack of sit down dining elements,Fast-food
494,Monthly,More,Lack of sit down dining elements,Fast-food
495,Rarely,Less,Quality of food,Sit-down dining
496,Monthly,Less,Poor service,Sit-down dining
497,Weekly,More,High prices,Sit-down dining
498,Rarely,Less,High prices,Sit-down dining
499,Monthly,Less,High prices,Sit-down dining
500,Weekly,Less,Quality of food,Fast-food
501,Rarely,Less,Lack of sit down dining elements,Fast-food
502,Weekly,More,High prices,Sit-down dining
503,Never visited before,Less,Lack of sit down dining elements,Fast-food
504,Monthly,More,High prices,Fast-food
505,Daily,More,Poor service,Sit-down dining
506,Rarely,Less,Lack of sit down dining elements,Fast-food
507,Daily,Less,Lack of sit down dining elements,Fast-food
508,Monthly,Less,Quality of food,Sit-down dining
509,Rarely,More,Lack of sit down dining elements,Fast-food
510,Weekly,More,High prices,Fast-food
511,Rarely,Less,Lack of sit down dining elements,Sit-down dining
512,Never visited before,More,High prices,Fast-food
513,Rarely,Less,High prices,Fast-food
514,Rarely,Less,Lack of sit down dining elements,Fast-food
515,Monthly,Less,High prices,Fast-food
516,Rarely,Less,High prices,Sit-down dining
517,Rarely,Less,Poor service,Sit-down dining
518,Monthly,Less,High prices,Sit-down dining
519,Never visited before,Less,Poor service,Fast-food
520,Monthly,Less,Lack of sit down dining elements,Fast-food
521,Daily,Less,Quality of food,Fast-food
522,Weekly,Less,Quality of food,Sit-down dining
523,Monthly,Less,High prices,Fast-food
524,Monthly,Less,Lack of sit down dining elements,Sit-down dining
525,Monthly,Less,Poor service,Fast-food
526,Weekly,Less,Quality of food,Sit-down dining
527,Monthly,Less,Quality of food,Sit-down dining
528,Rarely,Less,High prices,Fast-food
529,Rarely,Less,High prices,Fast-food
530,Weekly,More,Lack of sit down dining elements,Fast-food
531,Rarely,Less,Poor service,Sit-down dining
532,Monthly,Less,High prices,Fast-food
533,Rarely,Less,Lack of sit down dining elements,Sit-down dining
534,Weekly,Less,Lack of sit down dining elements,Fast-food
535,Weekly,Less,High prices,Fast-food
536,Monthly,Less,Quality of food,Sit-down dining
537,Weekly,Less,Lack of sit down dining elements,Sit-down dining
538,Monthly,Less,High prices,Fast-food
539,Weekly,Less,Poor service,Sit-down dining
540,Monthly,Less,Quality of food,Fast-food
541,Daily,Less,High prices,Fast-food
542,Rarely,Less,High prices,Fast-food
543,Daily,Less,Poor service,Sit-down dining
544,Monthly,Less,Lack of sit down dining elements,Sit-down dining
545,Rarely,Less,Lack of sit down dining elements,Fast-food
546,Rarely,Less,Poor service,Fast-food
547,Daily,More,Poor service,Fast-food
548,Weekly,Less,High prices,Fast-food
549,Never visited before,Less,Poor service,Fast-food
550,Daily,More,Lack of sit down dining elements,Fast-food
551,Rarely,Less,High prices,Sit-down dining
552,Monthly,Less,High prices,Sit-down dining
553,Rarely,Less,Quality of food,Sit-down dining
554,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
555,Never visited before,Less,Quality of food,Sit-down dining
556,Monthly,Less,Poor service,Sit-down dining
557,Weekly,Less,High prices,Sit-down dining
558,Never visited before,More,Poor service,Fast-food
559,Rarely,More,Lack of sit down dining elements,Sit-down dining
560,Never visited before,Less,Quality of food,Sit-down dining
561,Monthly,Less,High prices,Sit-down dining
562,Weekly,Less,Quality of food,Sit-down dining
563,Monthly,Less,High prices,Fast-food
564,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
565,Daily,More,High prices,Fast-food
566,Never visited before,Less,Poor service,Fast-food
567,Monthly,More,Lack of sit down dining elements,Fast-food
568,Monthly,Less,High prices,Sit-down dining
569,Rarely,More,High prices,Sit-down dining
570,Monthly,More,High prices,Fast-food
571,Weekly,Less,High prices,Sit-down dining
572,Weekly,More,Lack of sit down dining elements,Fast-food
573,Never visited before,Less,High prices,Fast-food
574,Never visited before,Less,Quality of food,Fast-food
575,Monthly,More,High prices,Fast-food
576,Monthly,Less,Quality of food,Fast-food
577,Daily,Less,Lack of sit down dining elements,Fast-food
578,Daily,More,Poor service,Sit-down dining
579,Weekly,Less,Lack of sit down dining elements,Sit-down dining
580,Rarely,More,Lack of sit down dining elements,Sit-down dining
581,Weekly,Less,High prices,Sit-down dining
582,Never visited before,Less,Quality of food,Fast-food
583,Daily,Less,Quality of food,Fast-food
584,Never visited before,Less,Quality of food,Fast-food
